session_id,title,created,event_count,cost,category,reason
ses_10e069500ffewnS70qjFJAZIm2,Crosslink handoff review,2026-06-23 00:55:15,0,1.05492924,B,High cost ($1.0549)
ses_10e00a551ffepqVvzqDQZlYSiY,Verify AutoGen facts via subagent (@general subagent),2026-06-23 01:01:44,0,0.0158771,A,Subagent session (delegated child task)
ses_10ded4d19ffes7eCdmlNVZ6yrF,Explore check layer coverage (@explore subagent),2026-06-23 01:22:52,0,0.00272606,A,Subagent session (delegated child task)
ses_10b4377e7ffelsTq3uZ8DgiJ7R,Gemini adversarial review of state cleanup (@gemini-pro-reviewer subagent),2026-06-23 13:47:36,0,0.146818,A,Subagent session (delegated child task)
ses_10ad8d366ffeL0zigHD7cBNr0C,Crosslink project onboarding and handoff review,2026-06-23 15:44:05,0,31.2071535,B,High cost ($31.2072)
ses_10ab17c1effe0d8BnPRx51soAE,Compare plugin and deploy directories (@explore subagent),2026-06-23 16:27:04,0,0.9639018,A,Subagent session (delegated child task)
ses_10a690ba7ffezrOcaAKaB6epgD,NVIDIA GLM5.1 Adversarial Review (@gemini-pro-reviewer subagent),2026-06-23 17:46:11,0,0.079207,A,Subagent session (delegated child task)
ses_10439dd54ffeXhmAfNEbL8KN5E,Dual architecture adversarial review,2026-06-24 22:35:26,0,0.1123314,B,Project/crosslink work (keyword: adversarial review)
ses_10437d49affer2e3DpK8CgLmFj,Dual architecture adversarial review,2026-06-24 22:37:40,0,0.3373372,B,Project/crosslink work (keyword: adversarial review)
ses_10398c209ffeZ9uekwsXJUZv5q,Hybrid Cache Git Event Sourcing research,2026-06-25 01:31:25,0,0.0168968184,B,Project/crosslink work (keyword: research)
ses_10398c1e6ffe6iGVkjb28cJ54b,Git Notes metadata research,2026-06-25 01:31:25,0,0.0147127176,B,Project/crosslink work (keyword: research)
ses_0fb74a229ffe0YtmKiXQoA10Ge,Server Migration Session,2026-06-26 15:27:50,0,9.431084,B,High cost ($9.4311)
ses_0f1364838ffemgSnSP2MpYABiM,Gemini Flash Idiot Docs Update,2026-06-28 15:12:08,0,2.1745478,B,High cost ($2.1745)
ses_0ef2bf717ffeTiaDfK2501effc,Generate 24 Metadata Edit Calls (@deepseek-flash subagent),2026-06-29 00:42:39,0,0.0044207688,A,Subagent session (delegated child task)
ses_0ef2ad33effeU7Co5zGbM2Orrl,Generate 24 Metadata Edit Calls (@deepseek-flash subagent),2026-06-29 00:43:53,0,0.0107177224,A,Subagent session (delegated child task)
ses_0e2090feeffefXSxSijDeGOE3O,Missing session logs investigation,2026-07-01 13:55:50,0,0.2417682,B,Orchestrator/parent session (launched subagents)
ses_0e208cbc0ffe6N9ypMeAfT7RcW,Investigate missing session logs (@deepseek-flash subagent),2026-07-01 13:56:07,0,0.0166472768,A,Subagent session (delegated child task)
ses_0e115d1ddffeO8VbZuK97F25Xq,Search opencode DB for migration (@deepseek-flash subagent),2026-07-01 18:21:31,0,0.0135635584,A,Subagent session (delegated child task)
ses_0e1157adfffeIc5jF2BgWqrLMr,Find migration repo on disk (@deepseek-flash subagent),2026-07-01 18:21:53,0,0.0076838104,A,Subagent session (delegated child task)
ses_0c8fab124ffe4sxQqYfMlbbLqH,Checking unpushed or uncommitted changes via Task,2026-07-06 10:42:02,0,0.395312,B,Orchestrator/parent session (launched subagents)
ses_0c8dcbd45ffe0BSThKrYKm79NN,Investigate crosslink-moe script failure (@deepseek-flash subagent),2026-07-06 11:14:45,0,0.011752244,A,Subagent session (delegated child task)
ses_0bc16ee60ffeUav16uGsbL7PYb,Deepseek flash agents for crosslink-opencode tests,2026-07-08 22:46:15,1746,1.975628828,B,High event count (1746)
ses_0bc0e6ffeffecIqhUUOODWhHbj,1.1: Explore kickoff source (@deepseek-flash subagent),2026-07-08 22:55:32,0,0.0090865096,A,Subagent session (delegated child task)
ses_0bc0e583affeZprL3E7pWTO1Mw,1.2+1.3A: Plugin and bridge prereqs (@deepseek-flash subagent),2026-07-08 22:55:38,0,0.0027559896,A,Subagent session (delegated child task)
ses_0bc0e41e8ffexO1BMDE5Zc4kfD,2.1: Write crosslink verify script (@deepseek-flash subagent),2026-07-08 22:55:44,0,0.008725416,A,Subagent session (delegated child task)
ses_0bc0b99caffehi4G4ZO0AweXm1,2.2: Write cleanup gate script (@deepseek-flash subagent),2026-07-08 22:58:38,0,0.0217500248,A,Subagent session (delegated child task)
ses_0bc0b890effedyu4OI0sQPRN32,2.3: Write retry semantics doc (@deepseek-flash subagent),2026-07-08 22:58:42,0,0.0095274424,A,Subagent session (delegated child task)
ses_0bc0b7275ffencRvdzO7zx728d,Stage 4: Write crosslink-guard.ts (@deepseek-flash subagent),2026-07-08 22:58:48,0,0.0135722608,A,Subagent session (delegated child task)
ses_0bbede9c1ffeJMpiTn8zm401Ns,1.4: Container worktree inspection (@deepseek-flash subagent),2026-07-08 23:31:03,0,0.00498736,A,Subagent session (delegated child task)
